,race,age,case_type,offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,recidivism
68566,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
68568,Other,30-39,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
68569,Other,30-39,Misdemeanor,Battery,None,None,None,no
68570,African American,18-29,Misdemeanor,Other,None,None,1-5,yes
68571,African American,40-49,Misdemeanor,Battery,None,1-5,None,no
68572,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
68573,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
68574,African American,18-29,Misdemeanor,Bail Jumping,None,1-5,1-5,yes
68575,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
68576,Caucasian,30-39,Felony,Other,None,1-5,None,no
68577,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
68578,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
68579,African American,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,no
68580,Caucasian,18-29,Felony,Other,None,None,None,no
68581,African American,30-39,Misdemeanor,Other,1-5,1-5,1-5,yes
68582,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
68583,African American,18-29,Felony,Battery,1-5,1-5,1-5,no
68584,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68585,Caucasian,30-39,Misdemeanor,Battery,None,None,None,no
68586,Caucasian,18-29,Felony,Other,None,None,None,no
68587,Caucasian,40-49,Felony,Other,None,None,1-5,no
68588,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
68589,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,None,1-5,no
68590,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,no
68591,Caucasian,40-49,Misdemeanor,Bail Jumping,1-5,1-5,1-5,no
68592,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
68593,African American,18-29,Felony,Other,None,6-10,None,yes
68594,African American,30-39,Misdemeanor,Resisting Officer,1-5,1-5,None,no
68595,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68596,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68597,Caucasian,18-29,Felony,Bail Jumping,None,None,None,no
68598,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68600,Other,18-29,Felony,Operating While Intoxicated,None,None,None,no
68601,Other,18-29,Misdemeanor,Battery,6-10,1-5,1-5,no
68602,Caucasian,40-49,Felony,Other,None,None,1-5,no
68603,Caucasian,30-39,Misdemeanor,Other,None,1-5,1-5,yes
68604,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68605,African American,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
68606,Caucasian,18-29,Felony,Other,6-10,More than 10,1-5,yes
68607,Caucasian,18-29,Felony,Other,None,None,None,yes
68608,Caucasian,18-29,Misdemeanor,OAR/OAS,None,None,None,yes
68609,African American,Younger than 18,Misdemeanor,Battery,None,None,None,no
68610,Other,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68611,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68612,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,no
68613,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
68614,African American,40-49,Misdemeanor,Other,1-5,1-5,None,no
68615,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,no
68616,Caucasian,30-39,Felony,Other,None,None,None,no
68617,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,1-5,no
68618,Caucasian,30-39,Misdemeanor,Resisting Officer,None,1-5,1-5,no
68619,African American,18-29,Felony,Battery,1-5,None,None,yes
68620,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68621,Caucasian,18-29,Felony,Other,None,None,None,no
68622,African American,30-39,Felony,Battery,1-5,1-5,None,no
68623,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
68624,African American,40-49,Felony,Other,1-5,None,None,yes
68625,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,no
68626,Caucasian,30-39,Felony,Other,1-5,6-10,None,no
68628,Caucasian,40-49,Felony,Other,1-5,None,None,no
68629,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68630,African American,30-39,Criminal Traffic,OAR/OAS,1-5,None,None,no
68631,African American,18-29,Misdemeanor,Other,None,None,None,no
68632,Caucasian,40-49,Misdemeanor,Battery,None,1-5,None,yes
68633,Caucasian,Younger than 18,Misdemeanor,Other,1-5,None,None,no
68634,Caucasian,30-39,Felony,Other,None,None,None,no
68635,African American,40-49,Misdemeanor,Other,1-5,6-10,None,yes
68636,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,yes
68637,African American,18-29,Felony,Other,None,None,None,no
68638,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
68639,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
68640,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68641,Caucasian,18-29,Misdemeanor,Other,1-5,None,1-5,yes
68642,Caucasian,18-29,Misdemeanor,OAR/OAS,None,None,None,no
68643,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
68644,African American,30-39,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
68645,African American,18-29,Felony,Burglary,1-5,1-5,More than 10,no
68646,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
68647,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
68648,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,More than 10,1-5,yes
68649,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
68650,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,yes
68651,Caucasian,18-29,Felony,Bail Jumping,1-5,1-5,None,no
68652,Caucasian,40-49,Misdemeanor,Other,None,1-5,None,no
68653,Caucasian,18-29,Felony,Other,1-5,None,None,no
68654,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
68655,Caucasian,18-29,Misdemeanor,Other,1-5,More than 10,6-10,yes
68656,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,yes
68657,African American,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
68658,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
68659,Other,30-39,Felony,Other,None,None,None,no
68660,Caucasian,18-29,Misdemeanor,Battery,None,None,1-5,yes
68661,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,no
68662,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,no
68663,Caucasian,30-39,Felony,Other,None,None,None,no
68664,Other,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68665,African American,30-39,Misdemeanor,Other,None,None,None,yes
68668,Other,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
68669,African American,18-29,Misdemeanor,Other,None,1-5,None,yes
68670,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
68673,Other,18-29,Misdemeanor,Resisting Officer,1-5,1-5,1-5,yes
68674,African American,18-29,Felony,Bail Jumping,1-5,None,None,no
68675,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
68676,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
68677,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
68678,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
68680,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,None,no
68682,Other,30-39,Felony,Other,1-5,6-10,1-5,yes
68683,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
68684,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
68685,Caucasian,40-49,Misdemeanor,Bail Jumping,None,1-5,1-5,no
68686,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
68687,Other,30-39,Misdemeanor,Operating While Intoxicated,1-5,1-5,1-5,yes
68688,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
68689,African American,30-39,Felony,Battery,1-5,1-5,None,no
68690,Caucasian,18-29,Felony,Other,None,None,None,no
68691,African American,Younger than 18,Misdemeanor,Other,None,None,None,yes
68692,African American,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
68694,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
68695,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,no
68696,Caucasian,18-29,Felony,Other,None,None,None,no
68697,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
68698,African American,50-59,Felony,Other,1-5,1-5,None,yes
68699,African American,18-29,Misdemeanor,Battery,1-5,None,1-5,yes
68701,Other,40-49,Misdemeanor,Other,1-5,More than 10,1-5,yes
68702,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,yes
68703,Other,18-29,Misdemeanor,Bail Jumping,None,6-10,1-5,yes
68704,African American,18-29,Misdemeanor,Other,None,None,None,no
68705,African American,18-29,Felony,Other,1-5,None,None,yes
68706,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,None,None,no
68707,African American,40-49,Misdemeanor,Resisting Officer,1-5,6-10,None,yes
68708,Caucasian,30-39,Felony,Bail Jumping,More than 10,More than 10,1-5,yes
68709,Other,Younger than 18,Misdemeanor,Other,None,None,None,yes
68710,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68711,Other,18-29,Felony,Other,None,1-5,None,no
68712,Caucasian,30-39,Felony,Other,None,6-10,None,no
68713,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
68714,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
68715,Caucasian,18-29,Felony,Other,None,None,None,no
68716,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,1-5,no
68719,Caucasian,30-39,Misdemeanor,Battery,None,None,None,no
68720,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68721,African American,18-29,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
68722,Caucasian,18-29,Misdemeanor,Operating While Intoxicated,None,None,None,yes
68724,African American,40-49,Felony,Other,1-5,1-5,None,yes
68725,Other,18-29,Felony,Other,None,None,None,no
68726,Other,18-29,Misdemeanor,Other,1-5,6-10,None,no
68727,African American,40-49,Misdemeanor,Battery,None,None,None,no
68728,Other,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
68729,Other,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
68730,African American,40-49,Misdemeanor,Other,1-5,1-5,None,no
68731,Caucasian,30-39,Misdemeanor,Bail Jumping,1-5,1-5,None,no
68732,African American,Younger than 18,Misdemeanor,Resisting Officer,None,None,None,no
68733,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,None,None,yes
68734,African American,30-39,Felony,Other,1-5,1-5,None,yes
68735,African American,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
68736,Caucasian,30-39,Felony,Other,None,None,None,no
68737,African American,18-29,Misdemeanor,Other,None,1-5,None,no
68739,Caucasian,30-39,Misdemeanor,Battery,1-5,6-10,None,no
68740,African American,18-29,Misdemeanor,Bail Jumping,1-5,None,1-5,yes
68741,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,None,None,yes
68742,Caucasian,18-29,Felony,Burglary,1-5,1-5,1-5,yes
68743,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
68744,African American,50-59,Felony,Other,1-5,1-5,1-5,no
68745,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
68746,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,yes
68747,African American,18-29,Misdemeanor,Other,None,1-5,1-5,no
68748,Caucasian,18-29,Felony,Other,None,None,None,no
68749,African American,50-59,Felony,Other,1-5,None,None,yes
68750,Caucasian,50-59,Felony,Bail Jumping,1-5,1-5,1-5,yes
68751,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,1-5,yes
68752,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
68753,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,6-10,yes
68754,Caucasian,50-59,Misdemeanor,Bail Jumping,1-5,1-5,None,no
68755,Caucasian,18-29,Misdemeanor,Bail Jumping,1-5,1-5,1-5,yes
68756,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
68757,Other,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
68758,Caucasian,30-39,Misdemeanor,Battery,None,None,1-5,no
68759,Other,18-29,Misdemeanor,Battery,1-5,1-5,1-5,no
68760,Other,18-29,Felony,Other,1-5,1-5,None,no
68761,Other,18-29,Misdemeanor,Other,1-5,1-5,1-5,no
68762,African American,18-29,Felony,Other,1-5,1-5,None,no
68763,Other,18-29,Misdemeanor,Resisting Officer,None,6-10,None,yes
68764,Caucasian,18-29,Felony,Other,None,None,None,no
68765,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,None,1-5,no
68766,Caucasian,Younger than 18,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
68767,Caucasian,18-29,Felony,Other,None,None,1-5,no
68768,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
68769,Caucasian,18-29,Felony,Other,1-5,None,None,yes
68770,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68771,Caucasian,Younger than 18,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
68772,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,1-5,no
68773,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,no
68774,Caucasian,40-49,Felony,Other,None,None,None,no
68775,African American,18-29,Felony,Other,None,None,None,no
68776,Caucasian,40-49,Felony,Other,1-5,1-5,None,yes
68777,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68778,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,6-10,More than 10,yes
68780,Caucasian,30-39,Felony,Other,None,None,None,no
68781,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,1-5,None,1-5,no
68782,Other,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,no
68783,Other,18-29,Criminal Traffic,Bail Jumping,None,None,1-5,no
68786,African American,50-59,Misdemeanor,Bail Jumping,1-5,1-5,1-5,no
68788,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
68789,Caucasian,18-29,Felony,Other,1-5,None,None,yes
68790,Caucasian,30-39,Felony,Other,None,None,None,yes
68791,Caucasian,18-29,Felony,Other,1-5,None,None,yes
68792,African American,30-39,Misdemeanor,Other,1-5,1-5,1-5,no
68793,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,None,no
68794,Caucasian,18-29,Misdemeanor,OAR/OAS,None,1-5,None,no
68795,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,None,no
68797,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,1-5,no
68798,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68799,Other,18-29,Criminal Traffic,Other,None,None,1-5,no
68800,Caucasian,18-29,Misdemeanor,OAR/OAS,None,None,None,yes
68801,Caucasian,Older than 60,Misdemeanor,Other,1-5,None,None,no
68802,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
68803,Caucasian,50-59,Criminal Traffic,OAR/OAS,None,None,None,no
68804,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
68805,African American,18-29,Misdemeanor,OAR/OAS,1-5,1-5,1-5,yes
68806,Caucasian,18-29,Misdemeanor,Battery,None,None,None,yes
68807,Caucasian,50-59,Felony,Bail Jumping,1-5,6-10,None,yes
68808,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68809,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,6-10,no
68810,African American,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,no
68811,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
68812,Caucasian,30-39,Misdemeanor,Other,None,None,None,yes
68813,Caucasian,50-59,Felony,Other,None,1-5,None,no
68814,Caucasian,18-29,Felony,Other,None,1-5,1-5,yes
68815,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,no
68816,Caucasian,Younger than 18,Misdemeanor,Other,1-5,1-5,None,yes
68817,African American,40-49,Misdemeanor,Bail Jumping,1-5,None,None,no
68820,Other,18-29,Felony,Other,1-5,None,None,no
68822,African American,40-49,Misdemeanor,Bail Jumping,1-5,6-10,None,yes
68823,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
68824,Caucasian,18-29,Felony,Battery,1-5,1-5,None,no
68825,African American,30-39,Misdemeanor,Resisting Officer,None,6-10,None,no
68826,Caucasian,30-39,Felony,Bail Jumping,More than 10,More than 10,1-5,yes
68827,Caucasian,18-29,Felony,Other,1-5,None,None,yes
68828,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,no
68829,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
68830,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
68831,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,no
68832,Caucasian,18-29,Felony,Other,1-5,1-5,1-5,no
68833,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,yes
68834,Caucasian,18-29,Misdemeanor,Operating While Intoxicated,None,1-5,None,yes
68835,Caucasian,30-39,Felony,Bail Jumping,1-5,None,None,no
68836,African American,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
68837,Other,18-29,Criminal Traffic,Other,None,None,1-5,no
68838,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,1-5,1-5,no
68839,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
68840,Caucasian,40-49,Felony,Other,None,1-5,None,no
68841,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68842,African American,18-29,Felony,Other,1-5,1-5,None,no
68843,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68844,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,1-5,no
68845,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,no
68846,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
68847,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
68848,Other,18-29,Misdemeanor,Battery,None,1-5,None,yes
68849,Caucasian,40-49,Felony,Other,None,1-5,None,yes
68850,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
68851,Caucasian,30-39,Felony,Other,None,None,None,no
68852,Caucasian,40-49,Misdemeanor,Other,None,1-5,None,yes
68853,Caucasian,18-29,Felony,Bail Jumping,None,None,None,yes
68854,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68855,African American,18-29,Misdemeanor,Other,1-5,1-5,None,no
68856,African American,30-39,Misdemeanor,OAR/OAS,None,1-5,1-5,yes
68857,Other,18-29,Misdemeanor,Disorderly Conduct,1-5,None,None,no
68859,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
68860,Caucasian,30-39,Misdemeanor,Battery,1-5,1-5,1-5,yes
68861,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
68862,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,None,None,no
68863,Caucasian,30-39,Misdemeanor,Other,None,None,1-5,no
68864,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,no
68866,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,1-5,yes
68867,Caucasian,30-39,Misdemeanor,Battery,None,None,None,no
68869,Caucasian,40-49,Misdemeanor,Other,1-5,6-10,None,no
68870,African American,18-29,Felony,Other,None,1-5,1-5,yes
68871,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
68872,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
68873,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
68874,Caucasian,40-49,Felony,Other,None,6-10,More than 10,no
68876,African American,40-49,Felony,Battery,1-5,None,None,no
68877,Caucasian,Younger than 18,Misdemeanor,Other,None,1-5,None,yes
68878,Caucasian,40-49,Misdemeanor,Battery,None,1-5,None,no
68879,African American,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
68881,Caucasian,18-29,Felony,Burglary,1-5,None,None,yes
68882,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
68883,Caucasian,Younger than 18,Misdemeanor,Other,1-5,None,None,no
68884,Other,18-29,Criminal Traffic,Other,None,None,1-5,yes
68886,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
68887,African American,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
68888,Other,18-29,Misdemeanor,Bail Jumping,None,None,1-5,no
68889,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
68890,Caucasian,18-29,Felony,Other,1-5,6-10,None,yes
68891,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
68892,Caucasian,18-29,Misdemeanor,Bail Jumping,None,None,1-5,no
68893,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
68894,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
68895,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
68896,Other,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
68898,Caucasian,30-39,Felony,Other,None,6-10,None,yes
68899,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,yes
68900,Other,18-29,Felony,Other,1-5,1-5,1-5,no
68901,Other,40-49,Criminal Traffic,Other,None,None,None,no
68902,Caucasian,40-49,Misdemeanor,Bail Jumping,None,1-5,None,no
68904,Other,18-29,Felony,Other,None,None,None,no
68905,Caucasian,40-49,Felony,Other,1-5,None,None,yes
68906,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
68907,African American,40-49,Misdemeanor,Other,1-5,None,None,yes
68908,Caucasian,Younger than 18,Felony,Bail Jumping,1-5,1-5,None,yes
68909,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
